id;cpath;opath
652;[];[]
653;[8244, 7709, 7686, 8752, 940, 30, 28, 25, 5644, 1048, 7259, 62, 721, 6994, 6997, 10733, 2377, 725, 714, 5114, 7029, 7031, 7032, 7038, 719, 10668, 8483, 369, 162, 8485, 10978, 8481, 263];[8244, 8244, 7709, 8752, 8752, 8752, 8752, 8752, 940, 940, 940, 28, 1048, 1048, 62, 6997, 2377, 725, 725, 5114, 5114, 7032, 10668, 10668, 10668, 10668, 369, 369, 369, 8485, 10978, 263, 263]
654;[1006, 158, 7836, 1736, 1757, 1733, 7878, 4895, 4892, 7699, 4891, 7092, 1941, 5386, 372, 371, 530, 3314, 1725, 8481, 264, 8047, 9300, 161, 8482, 10669, 717, 7039, 1704, 1713, 7030, 5115, 715, 724, 2378, 8467, 6993, 722, 63, 7258, 6758, 7818, 727, 729];[1006, 1006, 158, 1736, 1736, 1736, 1736, 1757, 1757, 1733, 4895, 4892, 7699, 7699, 7699, 4891, 1941, 1941, 371, 371, 530, 3314, 1725, 1725, 1725, 1725, 264, 9300, 8482, 8482, 10669, 7030, 7030, 7030, 7030, 7030, 7030, 7030, 5115, 5115, 5115, 5115, 5115, 5115, 5115, 5115, 5115, 715, 715, 715, 715, 724, 724, 2378, 2378, 8467, 722, 722, 63, 7258, 7258, 7258, 6758, 7818, 7818, 727, 729, 729]
655;[];[]
656;[8483, 368, 5107, 1717, 1707, 3283, 3281, 1705, 7057, 1159, 3278, 3286, 3288, 867, 10014, 59, 40, 48, 42, 44, 63, 7258, 6758];[8483, 368, 368, 368, 5107, 5107, 3281, 3278, 867, 10014, 59, 40, 40, 40, 40, 40, 48, 42, 42, 44, 44, 63, 6758, 6758, 6758]
657;[];[7869, 7869, 7869, 7869, 8475, 4769, 4769, 4769, 755, 755, 3351, 940, 940, 940, 28, 1048, 62, 62, 62, 6994, 2377, 725, 5114, 5114, 7032, 10668, 10668, 10668, 10668, 8483, 8483, 8483, 8483, 8483, 369, 162, 8485, 10979, 8476, 8476, 10979, 7510, 4869, 533, 533, 533, 533, 533, 533, 419, 421, 4891, 1942, 5397, 5397, 5397, 5397, 305, 0, 10121, 302, 302, 302, 267, 262, 10542, 2727, 10006, 8284, 9347, 6806, 6709, 6703, 7794, 8641, 2612, 10876, 2613, 2612, 5367, 5368, 254, 5369, 254, 256, 256, 256, 256, 254, 254, 254, 254]
658;[7918, 577, 1299, 1172, 1303, 2283, 1171, 1255, 4794, 1272, 8724, 8723, 8051, 8721, 1280, 1253, 7234, 1243, 1783, 10249, 1790, 2047, 2041, 2043, 2037, 2072, 2075, 2080, 2076, 2079, 2333, 6247, 6243, 4836, 4838, 5151, 6827, 6826, 6821, 6823, 6230, 6221, 6213, 6211, 6132, 4963, 6085, 4951, 4917, 8677];[7918, 7918, 1299, 1299, 1299, 1303, 1303, 1171, 1255, 1255, 4794, 1272, 8051, 1280, 7234, 7234, 7234, 7234, 7234, 10249, 2047, 2041, 2041, 2043, 2037, 2075, 2333, 6247, 6243, 4836, 4838, 6821, 6213, 6211, 6132, 6085, 4951, 4951, 4951, 4951, 8677]
659;[10260, 5650, 10171, 10172, 5652, 7224, 7226, 7222, 7228, 9128, 2165, 8740, 4637, 4960, 10179, 2383, 10709, 10708, 10175, 4623, 10208, 124];[10260, 10260, 5650, 5652, 5652, 7224, 7222, 7228, 9128, 9128, 9128, 9128, 2165, 2165, 2165, 2165, 2165, 2165, 4637, 4637, 4637, 4960, 10709, 10708, 4623, 10208, 124, 124, 124, 124, 124]
660;[2995, 9368, 9037, 1845, 2302, 9640, 1892, 2009, 1692, 2263, 2273, 2275, 9646, 1890, 7990, 7992, 599, 645, 647, 640, 617, 8261, 5108, 6, 7995, 7536, 147, 1107, 5185, 7528, 8599, 7530, 7540, 7527, 6648, 7608, 7602, 1124, 6649, 9542, 6653, 1116, 1113, 8441, 6631, 6642, 1108, 6644, 6630, 7908, 5700, 542, 6484, 6640, 1078, 6592, 151, 149, 358, 10126, 5006, 5110, 5125, 2082, 2086, 2280, 2367, 1936, 556, 5229, 2371, 546, 7286, 543, 5716, 6477, 542, 6484, 6640, 1079, 6639, 6501, 9842, 6505, 6508, 6521, 8753, 6519, 6520, 8754, 6522, 6525, 6511, 6494, 8391, 8386, 6471, 7275, 4650, 4849, 8352, 4655, 9887, 8102, 4658, 1003, 1002, 998, 996, 6517, 6531, 6546, 6550, 6570, 6573, 8280, 6577, 6544, 6527, 6525, 6511, 6494, 8391, 8386, 6471, 7275, 4650, 4849, 8352, 4655, 9887, 8102, 4658, 1003, 1002, 998, 996, 6517, 6531, 6546, 6550, 6569, 6575, 6579, 6583, 6578, 6574, 6571, 6548, 6547, 6532, 6516, 997, 994, 1014, 7649, 7648, 7647, 2645, 7646, 7640, 9656, 10705, 2636, 5352, 8330, 10482, 5366, 314, 315, 317, 6590, 8277, 6589, 8276, 6582, 8291, 6572, 6571, 6548, 6547, 6532, 6516, 997, 994, 1014, 7649, 7648, 7647, 2645, 7646, 7640, 9656, 10705, 2636, 5352, 8330, 10482, 5366, 314, 315, 317, 6590, 8277, 6589, 8276, 6582, 8291, 6572, 6571, 6548, 6547, 6532, 6516, 997, 994, 1014, 7649, 7648, 7647, 2645, 7646, 7640, 9656, 10705, 2636, 5352, 8330, 10482, 5366, 314, 315, 317, 6590, 8277, 6589, 8276, 6582, 8291, 6572, 6571, 6548, 6547, 6532, 6516, 997, 994, 1014, 7649, 7648, 7647, 2645, 7646, 7640, 9656, 10705, 2636, 5352, 8330, 10482, 5366, 314, 316, 2649, 2646, 8138, 9653, 7636, 9658, 2636, 5352, 8330, 10482, 5366, 314, 316, 2649, 2646, 8138, 9653, 7636, 9658, 2636, 5352, 8330, 10482, 5366, 314, 316, 2649, 2646, 8138, 9653, 7636, 9658, 2635, 2638, 2639, 5661, 8326, 8329, 8336, 10538, 8338];[2995, 9368, 9037, 1845, 2009, 1692, 2275, 9646, 9646, 1890, 1890, 7990, 7990, 7990, 7990, 7990, 7992, 645, 645, 617, 8261, 5108, 7995, 7536, 7536, 8441, 6592, 6640, 6519, 6577, 6579, 317, 317, 315, 316, 316, 316, 5366, 10482, 10482, 5366, 8338, 8338]
661;[878, 10416, 736, 3127, 735, 5246, 72, 10670, 3112, 3106, 3108, 3101, 3094, 75, 8201, 5017, 4788, 19, 5639, 6753, 6750, 6751, 7815, 6432, 729, 766];[878, 878, 878, 10416, 736, 3127, 735, 72, 3112, 3094, 75, 8201, 4788, 19, 19, 19, 19, 19, 19, 6753, 6753, 6751, 7815, 6432, 6432, 6432, 6432, 729, 766, 766, 766, 766, 766, 766]
662;[2041, 2043, 2037];[2041, 2043, 2037]
663;[4895, 4892, 7699, 4891, 7092, 1942, 410, 8963, 5397, 7764, 305, 8922, 8734, 8924, 306, 308, 1, 1043, 137, 5112, 5122, 5, 6, 7995, 7535, 7528, 8599, 7530, 7539, 1104];[4895, 4892, 4892, 7699, 7699, 7092, 410, 5397, 7764, 305, 306, 1, 1, 137, 137, 137, 137, 5112, 5122, 5122, 6, 7995, 7528, 7539, 7539, 1104, 1104, 1104, 1104, 1104]
664;[1686, 806, 810, 7803, 8233, 7027, 5678, 1729, 10442, 3453, 3451, 1478, 1480, 3446, 1487, 701, 3492, 7207, 7209, 7210, 486, 788, 786, 511, 8301];[1686, 7803, 7027, 10442, 3453, 1480, 701, 3492, 788, 511, 511, 511, 8301, 8301]
665;[7617, 698, 11033, 699, 2492, 680, 7615, 3493, 702, 1486, 3447, 1481, 1479, 3450, 3454, 10443, 1728, 8468, 5677, 7012, 712, 708, 703, 5115, 715, 724, 2378, 8467, 6993, 722, 63, 7259, 63];[7617, 7617, 11033, 699, 2492, 7615, 7615, 7615, 7615, 7615, 3493, 3447, 1481, 3450, 3450, 3454, 1728, 1728, 8468, 8468, 5677, 712, 708, 703, 703, 5115, 715, 715, 715, 715, 724, 724, 724, 2378, 722, 722, 722, 63, 7259, 63]
666;[8125, 8071, 8123, 8084, 8076, 8066, 8069, 8074, 3376, 919, 728, 919, 727, 729, 766, 1678, 7749, 764, 7751, 7433, 920, 922];[8125, 8071, 8071, 8084, 8066, 8074, 8074, 3376, 919, 728, 728, 728, 919, 919, 919, 919, 919, 919, 727, 727, 727, 729, 7749, 7751, 7433, 920, 920, 920, 922]
667;[];[]
668;[9893, 9897, 5728, 5229, 2371, 546, 7286, 543, 5716, 6477, 542, 6484, 6640, 1078, 6592, 151, 149, 358, 10126, 5006, 5110, 5125, 2082, 2085, 2366, 2084, 5123, 5, 6, 7995, 7536, 148, 7997, 7996, 2777, 320, 322, 2947, 324, 327, 329, 1068, 330];[9893, 9893, 9893, 9897, 9897, 9897, 9897, 5229, 5229, 2371, 7286, 5716, 6484, 6640, 6640, 6640, 1078, 1078, 6592, 6592, 6592, 151, 7536, 148, 7997, 7997, 7996, 7996, 2777, 320, 320, 320, 320, 320, 320, 2947, 2947, 2947, 324, 327, 1068, 330, 330, 330]
669;[835, 7712, 8475, 7710, 755, 3351, 940, 30, 28, 25, 5643, 7811, 5640, 5646, 5639, 6753, 6750, 6751, 7815];[835, 835, 7712, 8475, 8475, 7710, 7710, 7710, 7710, 755, 755, 3351, 940, 940, 940, 940, 28, 5646, 5639, 6753, 6753, 7815, 7815]
670;[5715, 544, 7285, 547, 2370, 5228, 558, 1934, 2368, 10248, 10245, 1913, 1911, 1900, 3239, 8130, 3222, 9066, 3225, 3219, 3227, 444, 538, 3144, 3162, 566, 10565, 3194, 3195, 7480, 3295, 10563, 3175, 1967, 8323, 8320, 567, 571, 10416, 736, 3127, 735, 5246, 72, 10670, 3112, 3106, 3108, 3100, 3109, 3104, 3106, 3108, 3101, 3094, 75];[5715, 5715, 5715, 544, 547, 2370, 2370, 2370, 5228, 5228, 5228, 5228, 558, 558, 558, 1934, 10245, 1913, 1913, 1913, 1911, 1900, 3239, 8130, 3222, 3225, 3225, 3225, 3225, 444, 444, 444, 444, 444, 444, 444, 444, 444, 444, 3144, 3162, 3162, 3162, 3194, 3295, 567, 571, 10416, 736, 735, 72, 3109, 3101, 3101, 3101, 75, 75, 75, 75]
671;[6903, 6906, 1236, 1160, 1234, 1224, 1227, 1226, 1229, 9414, 2805, 2845, 2868, 2865, 8855, 8857, 1089, 1092, 4795, 1097, 2820, 1989, 1099, 10609, 7240, 1694, 1822, 1823, 9197, 1826, 10422, 1828, 7517, 7513, 7515, 2991, 2987, 2984, 2995, 9368, 9037, 1845, 2302, 9640, 1892, 2009, 1692, 2263, 2273, 2275, 9646, 1890, 7990, 7993, 614, 7993, 613, 10331, 10713, 9608, 1922, 1920, 9610, 10715, 1906, 1930, 9979, 9976, 8128, 2279, 1917, 10247, 2367, 1935, 549, 8633, 550, 556, 5230, 5726, 5232, 5223, 5231, 5725, 8647, 7109, 5363, 7172, 5364];[6903, 6903, 6906, 1236, 1236, 1229, 1097, 1099, 10609, 1694, 1822, 1822, 1823, 1826, 1826, 1828, 7515, 2995, 2995, 2995, 9037, 1845, 2302, 2009, 1692, 2275, 9646, 1890, 1890, 614, 7993, 7993, 7993, 7993, 7993, 7993, 7993, 613, 10713, 1920, 1906, 2279, 2367, 1935, 1935, 1935, 1935, 8633, 8633, 8633, 8633, 8633, 550, 550, 550, 556, 5726, 5232, 5232, 5232, 5232, 5232, 5223, 5223, 5725, 8647, 5363, 5363, 5363, 5363, 5363, 5364, 5364, 5364, 5364]
672;[5650, 10171, 10172, 5652, 7224, 7226, 7222, 7228, 9128, 2164, 2155, 976, 985, 8736, 862, 6995, 763, 110, 108, 109, 88, 8150, 5495, 7684, 77, 7687, 8213, 8246, 7264, 120, 743, 5127, 3104, 3107, 5130, 5134, 7045, 7046, 7041, 7048, 7061, 7819, 816, 814, 3113, 5671, 5672, 813];[5650, 5650, 10171, 5652, 7224, 7228, 9128, 9128, 2164, 2155, 976, 985, 985, 6995, 6995, 763, 108, 88, 8150, 5495, 7684, 77, 77, 77, 77, 77, 77, 77, 77, 7687, 7687, 8213, 8213, 7264, 120, 120, 5127, 5130, 5134, 7046, 7048, 7048, 7819, 816, 816, 816, 816, 816, 3113, 5671, 5672, 5672, 5672, 5672, 813, 813]
673;[7846, 7836, 1736, 1757, 1733, 7878, 4895, 4892, 7699, 4891, 7092, 1941, 5386, 372, 371, 530, 3314, 1725, 8481, 264, 8047, 9300, 161, 8482, 10669, 717, 7039, 1704, 1713, 7030, 5115, 715, 724, 2378, 8467, 6993, 722, 63, 7258, 6758, 7818, 727, 730];[7846, 7846, 7846, 1736, 1736, 1757, 1757, 1757, 1733, 4895, 4892, 7699, 7699, 7092, 1941, 372, 530, 3314, 8481, 264, 9300, 9300, 8482, 10669, 717, 717, 7030, 5115, 5115, 5115, 5115, 715, 715, 724, 2378, 722, 722, 63, 7258, 7818, 7818, 727, 730, 730, 730, 730, 730, 730, 730, 730, 730, 730]
674;[];[]
675;[9682, 7080, 1725, 8481, 263, 9683, 8027, 5373, 5377, 10376, 10383, 10378, 1953, 5463, 265, 5425, 5418, 5477, 5423, 5450, 5436, 4166, 4418, 7099, 4422, 2699, 5795, 4406, 4409, 4411, 10802, 10804, 7120, 8918, 4400, 4209, 4208, 4205, 4202, 2034, 9000, 10140, 4235, 4237, 4233, 4230, 4182, 4180, 4181, 299, 9218, 1978, 303, 7765, 5398, 5255, 372, 371, 530, 3314, 1725, 8481, 264, 8047, 9300, 161, 8483, 368, 5107, 1717, 1707, 3283, 3281, 1705, 7057, 1159, 3278, 3286, 3288, 866, 5685, 869, 52, 54, 58, 24, 10039, 5129, 3103, 5133, 3091, 3093, 8210, 3347, 78];[9682, 9682, 7080, 7080, 7080, 7080, 1725, 1725, 1725, 9000, 9000, 1725, 1725, 1725, 1725, 264, 9300, 9300, 161, 161, 8483, 368, 368, 368, 368, 5107, 1707, 7057, 7057, 3278, 866, 52, 52, 52, 58, 5129, 5133, 5133, 3091, 3093, 3093, 8210, 3347, 78, 78, 78]
676;[10082, 2329, 6995, 763, 110, 107, 93, 99, 2127, 8765, 122, 900, 4597, 4588, 564, 1996, 429, 432, 577, 1298, 10365, 1859, 435, 437, 439, 8217, 610, 10723, 3244, 608, 3251, 3255, 2363, 5272, 605];[10082, 10082, 2329, 2329, 2329, 6995, 763, 107, 93, 93, 93, 93, 2127, 122, 900, 4588, 4588, 564, 1996, 429, 429, 429, 432, 432, 10365, 1859, 435, 435, 435, 435, 435, 437, 437, 439, 610, 610, 610, 610, 10723, 10723, 608, 608, 608, 3255, 5272, 605, 605]
677;[9121, 3272, 3237, 3234, 3334, 1961, 536, 3118, 2456, 10662, 2601, 10664, 2457, 10018, 10017, 2605, 553, 8485, 10979, 7510, 10109, 4869, 10544, 4870];[9121, 9121, 3272, 3237, 3237, 3237, 3334, 3334, 1961, 536, 536, 10662, 4870, 4870, 4870, 4870, 4870, 4870, 4870, 4870, 4870, 4870, 4870, 4870]
678;[6501, 9841, 6502, 6638, 6485, 541, 6476, 5715, 544, 7285, 547, 2370, 5228, 557, 549, 8632, 1904, 3334, 1961, 536, 3118, 2457, 10018, 10017, 2605, 554, 864, 5410, 3276, 5670, 5149, 3278, 3286, 3288, 866, 5685, 869, 52, 54, 57, 5134, 7045, 7046, 7041, 7048, 7061, 7820, 52];[6501, 9841, 9841, 6502, 6502, 6502, 6502, 6502, 6502, 6638, 6476, 544, 547, 2370, 557, 557, 557, 549, 8632, 8632, 8632, 1904, 3334, 3334, 536, 536, 536, 536, 3118, 2457, 10017, 10017, 10017, 2605, 554, 5410, 3276, 3276, 5670, 5670, 5670, 5670, 3278, 3288, 866, 5685, 52, 52, 52]
679;[];[]
680;[];[]
681;[];[]
682;[3283, 3281, 1705, 7057, 1159, 3278, 3286, 3288, 867, 10014, 59, 40, 48, 42, 44, 63, 7258, 6758, 7818, 726, 7834, 3371, 7832, 3378, 3380, 481, 238, 3416, 8462, 3415, 235, 3399, 5135, 1156, 2374, 1050, 1158, 713, 716, 70, 3280, 59, 40, 48, 42, 44];[3283, 3281, 3281, 3281, 3281, 3281, 3278, 867, 10014, 59, 40, 40, 42, 44, 44, 238, 238, 44, 44, 44, 44, 44, 44, 44, 44, 44]
683;[28, 25, 5643, 7811, 5640, 5646, 5639, 6752, 7814, 922, 35, 5646, 5639, 6753, 6750, 6751, 7815, 6432, 729, 766, 1678, 7749, 764, 7751, 7432, 6746, 732, 11071, 731, 6748, 35, 5645, 5641, 7813, 7810, 32, 6745, 1055, 29, 11058, 7809, 7807, 7681, 8245, 770, 8243, 10259, 925, 10273, 6412, 931, 939, 927, 9691, 833, 7782, 837, 7867, 7865, 7863, 840, 843, 847, 851, 8224, 8220, 7344, 972, 982, 8231, 1986, 1083, 6434, 10260, 5650];[28, 28, 7811, 5646, 5646, 6752, 922, 732, 732, 7809, 7809, 7681, 8245, 8243, 925, 6412, 931, 939, 939, 833, 7782, 7782, 837, 7863, 843, 851, 972, 982, 982, 1986, 6434, 10260, 5650, 5650, 5650]
684;[68, 6756, 7932, 7816, 7815, 6431, 828, 7950, 46, 7955, 7954, 6760, 7953, 10559, 69, 64, 7818, 728, 918, 3375, 8073, 8068, 8064, 8075, 8083, 8125, 8070, 8464, 3415, 235, 3401, 3422];[68, 68, 68, 7932, 7932, 7815, 7815, 7815, 6431, 828, 828, 6760, 6760, 6760, 6760, 7953, 7953, 69, 69, 7818, 7818, 7818, 728, 728, 918, 3375, 8068, 8075, 8083, 8083, 8083, 8083, 3415, 3401, 3422, 3422]
685;[10523, 10519, 2678, 4152, 2698, 5154, 4561, 8494, 5157, 7899, 5138, 1975, 1977, 8638, 8734, 8924, 306, 309, 312, 4877, 4876, 9881, 4886, 1758, 7843, 7728, 1754, 1750, 5222, 5219, 5225];[10523, 10519, 10519, 2678, 2678, 4152, 4152, 4152, 5154, 8494, 8494, 8494, 8494, 8494, 5157, 5157, 7899, 5138, 5138, 5138, 5138, 5138, 5138, 5138, 5138, 1975, 1977, 312, 9881, 9881, 4886, 1758, 1758, 1758, 1754, 1750, 5219, 5219, 5225, 5225]
686;[10260, 5650, 10171, 10172, 5652, 7224, 7226, 7222, 7228, 9128, 2165, 8740, 4637, 4960, 10179, 2383, 10710, 892, 10182, 578, 10194, 10184, 1340, 10192, 897, 1332, 1320, 10187, 10190, 1314, 5594, 5576, 5560, 5558, 5554, 1244, 1220];[10260, 10260, 5650, 5650, 5652, 5652, 7224, 7228, 2165, 2165, 2165, 2165, 2165, 2165, 4637, 4960, 4960, 10710, 10182, 578, 10184, 897, 1320, 5576, 1244, 1220]
687;[10717, 10729, 10728, 2364, 3254, 3250, 607, 3245, 3252, 10044, 3261, 3249, 3204, 4975, 9123, 1896, 3243, 3210, 5277, 3221, 8131, 8127, 1913, 1912, 8626, 8631, 8628, 1903, 7101, 5363, 7173, 526, 7787, 5267, 7167, 408, 4891, 7092];[10717, 10717, 10717, 10717, 10717, 10729, 10728, 2364, 2364, 3254, 607, 607, 10044, 3204, 1896, 3210, 5277, 3221, 8127, 1912, 1912, 1912, 8626, 8626, 8626, 8626, 8626, 1903, 1903, 1903, 1903, 1903, 1903, 1903, 1903, 1903, 7101, 526, 5267, 7167, 4891, 4891, 4891, 4891, 7092, 7092]
688;[10442, 3454, 10443, 1728, 8468, 5677, 7012, 712, 708, 705, 1158, 713, 716, 70, 3280, 59, 40, 48, 42, 45, 46, 7955, 7954, 6760, 7953, 10559, 69, 64, 7818, 727, 730, 6431, 828, 7950];[10442, 10442, 10442, 10442, 10442, 10442, 10442, 10443, 1728, 5677, 7012, 712, 708, 705, 705, 705, 705, 705, 1158, 713, 70, 3280, 59, 59, 59, 59, 40, 48, 42, 45, 45, 45, 46, 6760, 6760, 7950, 7950]
689;[10523, 10519, 2678, 4152, 2698, 5154, 4561, 8494, 5157, 7899, 5139, 8921, 8733, 303, 7765, 5398, 5255, 372, 371, 529, 3312, 531, 532, 535, 8266, 5257, 538, 3144, 3162, 566, 10565, 3194, 3195, 7480, 3295, 10563, 3175, 1967, 8323, 8320, 567, 572, 8719, 573, 575, 7917, 7915, 559, 561, 563, 4594, 10198, 889, 4590, 987, 125, 124, 7308, 106, 583, 580, 762, 9061, 9062, 859, 945, 843, 847];[10523, 10519, 2678, 2678, 2678, 2678, 2678, 2678, 2678, 4152, 4152, 4152, 4152, 4152, 2698, 2698, 2698, 2698, 5154, 5154, 8494, 5157, 5157, 5157, 5157, 5157, 5157, 5139, 5139, 5139, 8921, 8921, 8921, 8921, 7765, 5398, 5398, 5255, 372, 529, 529, 531, 532, 532, 532, 532, 532, 535, 8266, 538, 538, 538, 3144, 3162, 3162, 3162, 3195, 7480, 7480, 3295, 10563, 1967, 567, 567, 567, 567, 572, 8719, 573, 575, 559, 563, 563, 563, 4594, 4594, 4594, 4594, 4590, 987, 125, 125, 125, 125, 124, 583, 580, 580, 580, 762, 9062, 9062, 859, 945, 945, 945, 843, 847, 847, 847, 847, 847, 847, 847]
690;[];[]
691;[5373, 5377, 10377, 10375, 1946, 416, 5390, 412, 7091, 5105, 5255, 372, 371, 529, 3312, 531, 532, 535, 8266, 5257, 538, 3144, 3162, 566, 10565, 3194, 3195, 7480, 3295, 10563, 3175, 1967, 8323, 8320, 567, 572, 8719, 573, 575, 7917, 7915, 559, 561, 563, 4594, 10199, 2018, 1342, 894, 899, 896, 10193, 1341, 10186];[5373, 5373, 5377, 10377, 10375, 10375, 10375, 1946, 416, 5105, 5255, 371, 529, 529, 531, 532, 532, 532, 8266, 538, 538, 538, 3144, 3162, 3295, 8320, 8320, 8320, 567, 8719, 573, 573, 559, 561, 10199, 10199, 10199, 10199, 10199, 2018, 1342, 899, 899, 899, 899, 896, 896, 896, 10193, 10186, 10186]
692;[5643, 7812, 5643, 7811, 5640, 5646, 5639, 6752, 7814, 922, 35, 5646, 5639, 6753, 6750, 6751, 7815, 6432, 729, 766, 1678, 7749, 764, 7751, 7432, 6746, 732, 11071, 731, 6748, 35, 5645, 5641, 7813, 7810, 32, 6745, 1055, 29, 11058, 7809, 7807, 7682, 7686, 8752, 940, 31, 91, 8269];[5643, 7812, 7811, 5646, 5646, 5639, 7814, 7432, 732, 732, 7809, 7807, 31, 31, 31, 8269]
693;[5380, 5378, 5383, 5382, 1727, 529, 3312, 531, 532, 535, 8266, 5257, 538, 3144, 3162, 566, 10565, 3194, 3195, 7480, 3295, 10563, 3175, 1967, 8323, 8320, 567, 572, 8719, 573, 575, 7917, 7915, 559, 561, 563, 4594, 10199, 2018, 1342, 894, 898, 8249, 8248, 426, 1281, 1306, 10071, 1291, 1289, 1290, 1287, 8051, 8721, 1280, 1253];[5380, 5380, 5380, 5380, 5378, 5382, 1727, 529, 3312, 532, 535, 535, 535, 535, 535, 8266, 8266, 8266, 8266, 8266, 538, 3162, 3162, 3195, 3195, 7480, 8320, 8719, 573, 559, 561, 561, 563, 10199, 10199, 10199, 10199, 1342, 898, 8249, 8249, 8248, 1281, 10071, 1291, 1291, 1291, 1291, 1289, 1289, 1287, 8721, 1280, 1253]
694;[3168, 3146, 10023, 5252, 10064, 8788, 5279, 553, 8484, 553, 8485, 10978, 8481, 264, 8047, 9299, 10147, 10145, 5238, 7230, 10369, 10370, 8027, 5373, 5377, 10376, 10383, 10378, 1953, 5463, 265, 5425, 5418, 5477, 5423, 5450, 5437, 5451, 5455, 5024, 9706, 9708, 6967, 6963, 1583, 8716, 6961, 1516, 6984, 1574, 1573, 9269, 6956, 1582, 8711, 1578, 3930, 6949, 1563];[3168, 3168, 10023, 5252, 10064, 5279, 5279, 553, 553, 553, 553, 8485, 8485, 8485, 8485, 8485, 10978, 264, 9299, 10145, 7230, 8027, 5373, 5373, 5373, 5377, 5377, 1953, 1953, 5463, 265, 5425, 5418, 5418, 5477, 5437, 5451, 5451, 5451, 5451, 5451, 5451, 5455, 5024, 9708, 8716, 6984, 1573, 1582, 6949, 1563, 1563]
695;[7918, 577, 1298, 10365, 1859, 435, 437, 440, 3171, 442, 1965, 3200, 3156, 3205, 3207, 3304, 3301, 3212, 445, 9558];[7918, 577, 577, 577, 577, 577, 10365, 1859, 435, 435, 435, 435, 435, 435, 437, 437, 437, 437, 437, 442, 3200, 3156, 3205, 3207, 3301, 445, 9558, 9558, 9558, 9558, 9558, 9558, 9558]
696;[3099, 3095, 3100, 3109, 3105, 3096, 3111, 10671, 73, 10366, 740, 3343, 3340, 5690, 3342, 584, 3136, 5282, 5285, 880, 568, 880, 569, 440, 3171, 442, 1965, 3200, 3156, 3205, 3207, 3304, 3301, 3212, 445, 9558, 1963, 1962, 1938, 419, 5275, 5269, 422, 9849, 531, 533, 420, 5273, 7785, 527, 7172, 5365, 9845, 8645, 5726, 5232, 5223, 5233];[3099, 3099, 3100, 3100, 10671, 10671, 73, 10366, 5690, 584, 5285, 880, 568, 568, 569, 569, 440, 442, 3200, 3156, 3205, 3207, 3301, 445, 9558, 1962, 533, 533, 420, 420, 5365, 8645, 5726, 5223, 5223, 5223, 5233, 5233, 5233, 5233, 5233, 5233, 5233]
697;[];[]
698;[];[]
699;[573, 576, 749, 1974, 4508, 113, 112, 7264, 120, 743, 5127, 3104, 3106, 3108, 3101, 3094, 75, 8202, 6745, 1055, 28, 25, 5644, 1047, 69];[573, 576, 576, 749, 1974, 4508, 4508, 4508, 113, 113, 112, 112, 7264, 5127, 3101, 3101, 75, 8202, 1055, 1055, 1055, 1055, 1055, 1055, 1055, 28, 5644, 1047, 1047, 69, 69]
700;[9646, 1890, 7991, 1069, 2259, 639, 2093, 7424, 2138, 2102, 2322, 2099, 3062, 7410, 3078, 7409, 3063, 2100, 10964, 2134, 2802, 9600, 2318, 8516, 8517, 2760, 2128, 2132, 2130, 5311, 2134, 2802, 9600, 2318, 8516, 8517, 2760, 2128, 2132, 2130, 5311, 2134, 2802, 9600, 2318, 8516, 8517, 2760, 2128, 2132, 2130, 5311, 2134, 2802, 9600, 2318, 8516, 8517, 2760, 2128, 2132, 2130, 5311, 2134, 2802, 9600, 2318, 8516, 8517, 2760, 2128, 2132, 2130, 5311, 2134, 2802, 9600, 2318, 8516, 8517, 2760, 2128, 2132, 2130, 5311, 2134, 2802, 9600, 2318, 8516, 8517, 2760, 2128, 2132, 2130, 5311, 2134, 2802, 9600, 2318, 8516, 8517, 2760, 2128, 2132, 2130, 5311, 2134, 2802, 9600, 2318, 8516, 8517, 2760, 2128, 2132, 2130, 5311, 2134, 2802, 9600, 2318, 8516, 8517, 2760, 2129, 10286, 9114, 6429, 8845, 2973, 8846, 8851, 9722, 1072, 1075, 2880, 7427];[9646, 9646, 1890, 7991, 1069, 2259, 2259, 2259, 639, 2138, 2138, 2102, 3078, 3078, 3078, 2100, 2100, 2134, 2134, 2134, 2318, 8517, 8517, 8517, 8517, 8517, 8517, 8517, 8517, 8517, 8517, 8517, 8517, 8517, 8517, 8517, 8517, 8517, 2760, 10286, 9114, 8851, 1072, 2880, 7427]
701;[7953, 10560, 7956, 47, 37, 41, 60, 10013, 866, 5685, 869, 52, 54, 57, 5134, 7044, 10366, 740, 3343, 3340, 5690, 3342, 584, 3136, 5282, 5285, 880];[7953, 7953, 10560, 7956, 47, 47, 47, 37, 41, 60, 10013, 866, 5685, 52, 52, 52, 52, 57, 57, 57, 57, 10366, 3343, 5690, 3136, 5285, 880, 880, 880]
702;[7893, 6975, 7034, 1459, 1461, 7015, 1636, 2574, 3866, 1639, 1642, 2577, 1631, 2460, 692, 1644, 3594, 7002, 690, 782, 688, 2408, 7008, 686, 682, 680, 7615, 3493, 702, 1486, 3447, 1481, 1479, 3450, 3454];[7893, 7893, 7893, 7034, 7015, 2574, 3866, 1639, 1631, 692, 690, 2408, 7008, 680, 680, 7615, 7615, 3493, 702, 3447, 1479, 3450, 3454, 3454, 3454]
